Profile
ASP .NET MVC
Blockchain
Consultant
FULL STACK
JAVA
ML AI DL
ORACLE D2K
ORACLE Erp App
ORACLE PLSQL
Public Relations
Purchase
Quality Assurance and Testing
Reenforcements AI Architect
Retail
Sales
Social Media
System and network admin
Web Designer
AI Architect
Banking
OpenCV
Data Science
Finance
Human resource
Insurance
JavaJ2EE
Market research
Marketing Mix Modelling
